,country_of_origin,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,total_cup_points,moisture,category_one_defects,category_two_defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,processing_method_Other,processing_method_Pulped natural / honey,processing_method_Semi-washed / Semi-pulped,processing_method_Washed / Wet,region
1271,Honduras,6.83,6.83,6.67,6.83,7.0,6.83,9.33,8.67,10.0,7.0,76.0,0.11,0,7,1350.0,1350.0,1350.0,0,0,0,0,central_america_carib
1272,Philippines,6.83,6.5,6.5,6.92,6.75,7.0,9.33,10.0,9.33,6.67,75.83,0.12,0,2,1000.0,1000.0,1000.0,0,0,0,1,southeast_asia
1274,Guatemala,7.92,7.58,7.17,7.58,7.33,7.17,8.0,8.0,8.0,6.83,75.58,0.11,0,15,1310.64,1310.64,1310.64,0,0,0,1,central_america_carib
1276,Mexico,7.5,7.25,6.92,7.0,7.17,6.83,8.0,8.0,10.0,6.83,75.5,0.11,4,20,1100.0,1100.0,1100.0,0,0,0,1,north_america
1277,Mexico,7.17,6.92,6.67,6.83,7.25,7.75,10.0,6.0,10.0,6.58,75.17,0.11,0,20,1200.0,1200.0,1200.0,0,0,0,1,north_america
1278,Mexico,7.25,6.83,6.67,7.08,7.17,6.83,10.0,6.67,10.0,6.67,75.17,0.12,0,8,1100.0,1100.0,1100.0,0,0,0,1,north_america
1279,Mexico,7.17,7.17,6.83,7.17,7.42,6.67,8.67,7.33,10.0,6.75,75.17,0.13,23,29,1280.0,1280.0,1280.0,0,0,0,1,north_america
1280,Mexico,7.0,6.92,6.75,6.92,7.17,6.83,10.0,6.67,10.0,6.75,75.0,0.14,15,7,850.0,850.0,850.0,0,0,0,1,north_america
1281,Mexico,7.08,6.75,6.58,7.0,7.0,6.75,8.67,8.67,10.0,6.42,74.92,0.17,0,6,1500.0,1500.0,1500.0,0,0,0,1,north_america
1282,Mexico,7.33,6.75,6.67,7.25,7.5,7.0,10.0,5.33,10.0,7.0,74.83,0.12,0,30,1250.0,1250.0,1250.0,0,0,0,1,north_america
1285,Mexico,7.08,7.0,6.83,7.5,7.33,6.83,8.0,7.33,10.0,6.75,74.67,0.12,0,7,1700.0,1700.0,1700.0,0,0,0,1,north_america
1287,Guatemala,6.5,6.33,6.5,7.5,7.33,6.83,8.67,10.0,8.67,6.0,74.33,0.11,1,1,1310.64,1310.64,1310.64,0,0,0,1,central_america_carib
1288,Mexico,7.0,6.58,6.67,6.83,7.08,6.83,10.0,6.67,10.0,6.67,74.33,0.14,3,11,1140.0,1140.0,1140.0,0,0,0,1,north_america
